what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1336499379559
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1336499379560
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1336499379560
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1336499379602
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1336499379603
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1336499379653
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1336499379654
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1336499379655
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1336499379656
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1336499379657
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1336499379765
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1336499379766
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1336499379767
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1336499379768
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1336499379768
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1336499379768
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1336499379810
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1336499379811
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1336499379811
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1336499379812
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1336499379813
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1336499379814
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1336499379856
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1336499379857
os,sysinfo,,,"win32",1336499379860
arch,sysinfo,,,"x86_64",1336499379861
ws,sysinfo,,,"win32",1336499379861
locale,sysinfo,,,"es_ES",1336499379861
processors,sysinfo,,,"4",1336499379861
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1336499379861
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1336499379861
java.specification.name,sysinfo,,,"Java Platform API Specification",1336499379861
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336499379861
java.specification.version,sysinfo,,,"1.6",1336499379861
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1336499379861
java.version,sysinfo,,,"1.6.0_17",1336499379861
java.vm.info,sysinfo,,,"mixed mode",1336499379861
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1336499379861
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1336499379861
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336499379861
java.vm.specification.version,sysinfo,,,"1.0",1336499379861
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1336499379861
java.vm.version,sysinfo,,,"14.3-b01",1336499379861
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336499380253
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336499380464
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1336499381035
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336499390469
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336499393931
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336499394155
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1336499394598
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1336499394891
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1336499394916
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1336499394943
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1336499394955
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1336499394983
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1336499395047
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1336499395057
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1336499395106
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1336499395138
